Building,UWG,Location Summary,,,,,,,,,,,,,,,,,
,,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks
BLD1NEW,,,PSZ-AC_2:2_FAN,0.77,0.77,0.76,0.79,0.69,0.77,0.57,0.74,0.89,0.65,0.73,0.87,0.71,0.8,0.67,0.58
BLD1NEW,,Utility Costs,,,,,,,,,,,,,,,,,
BLD1NEW,,,Electric Utility Rates,,,,,,,,,,,,,,,,
BLD1NEW,,,Average Annual Rate ($/kWh),0.07693,0.10668,0.09569,0.10387,0.12380,0.09406,0.14458,0.06634,0.03753,0.07225,0.05227,0.03754,0.05199,0.06819,0.05079,0.08740
BLD1NEW,,,Total Cost ($/m2),57.68,74.88,67.84,67.05,74.13,63.53,84.15,41.66,23.67,42.2,31.99,23.06,31.61,40.82,29.74,50.33
BLD1NEW,,,Gas Utility Rates,,,,,,,,,,,,,,,,
BLD1NEW,,,Average Annual Rate ($/MJ),0.01147,0.00819,0.00857,0.01059,0.00842,0.00811,0.00843,0.00998,0.00715,0.00832,0.00874,0.00714,0.00793,0.00858,0.00793,0.00417
BLD1NEW,,,Total Cost ($/m2),21.93,19.17,18.9,29.18,18.83,19.83,23.28,33.58,20.91,27.68,33.73,24.04,34.48,34.19,39.22,27.25
BLD1NEW,,,Total Utility Costs,,,,,,,,,,,,,,,,
BLD1NEW,,,Cost Intensity ($/m2),79.61,94.06,86.75,96.23,92.96,83.36,107.44,75.25,44.57,69.89,65.72,47.1,66.08,75.01,68.97,77.57
BLD1NEW,,Energy - End Uses,,,,,,,,,,,,,,,,,
BLD1NEW,,,Electricity (kWh),,,,,,,,,,,,,,,,
BLD1NEW,,,Heating,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1NEW,,,Cooling,"83,427.78","59,480.56","63,355.56","31,441.67","10,477.78","47,263.89","2,811.11","23,858.33","21,263.89","3,950.00","16,330.56","13,936.11","14,488.89","8,166.67","4,705.56","1,733.33"
BLD1NEW,,,Interior Lighting,"65,897.22","65,897.22","65,897.22","65,897.22","65,897.22","65,897.22","65,897.22","65,897.22","65,897.22","65,897.22","65,897.22","65,897.22","65,897.22","65,897.22","65,897.22","65,897.22"
BLD1NEW,,,Exterior Lighting,"18,516.67","18,483.33","18,480.56","18,511.11","18,508.33","18,488.89","18,469.44","18,488.89","18,483.33","18,458.33","18,461.11","18,466.67","18,477.78","18,455.56","18,450.00","18,338.89"
BLD1NEW,,,Interior Equipment,"166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78"
BLD1NEW,,,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1NEW,,,Fans,"30,211.11","30,405.56","30,211.11","30,244.44","27,325.00","29,663.89","27,091.67","29,386.11","33,452.78","27,300.00","29,072.22","32,705.56","29,002.78","30,819.44","27,811.11","26,275.00"
BLD1NEW,,,Refrigeration,"18,819.44","18,127.78","18,063.89","17,438.89","17,480.56","17,561.11","16,850.00","16,966.67","16,911.11","16,552.78","16,663.89","16,575.00","16,516.67","16,263.89","16,055.56","15,691.67"
BLD1NEW,,,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1NEW,,,Total End Uses,"383,277.78","358,797.22","362,411.11","329,936.11","306,088.89","345,280.56","297,522.22","321,002.78","322,411.11","298,558.33","312,827.78","313,980.56","310,786.11","306,005.56","299,322.22","294,338.89"
BLD1NEW,,,Gas (MJ),,,,,,,,,,,,,,,,
BLD1NEW,,,Heating,"13,960.00","202,860.00","150,700.00","384,170.00","124,540.00","252,320.00","367,250.00","671,850.00","451,970.00","641,130.00","903,800.00","654,850.00","1,135,110.00","947,810.00","1,413,400.00","2,186,760.00"
BLD1NEW,,,Interior Equipment,"800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00"
BLD1NEW,,,Water Systems,"162,410.00","193,490.00","175,610.00","223,430.00","217,620.00","197,130.00","243,250.00","246,970.00","242,500.00","259,220.00","267,630.00","266,550.00","285,480.00","288,730.00","314,930.00","350,570.00"
BLD1NEW,,,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1NEW,,,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1NEW,,,Total End Uses,"977,280.00","1,197,260.00","1,127,230.00","1,408,520.00","1,143,080.00","1,250,380.00","1,411,420.00","1,719,740.00","1,495,400.00","1,701,270.00","1,972,350.00","1,722,320.00","2,221,510.00","2,037,460.00","2,529,250.00","3,338,250.00"
BLD1NEW,,,Total Building (MJ),"2,357,080","2,488,940","2,431,910","2,596,290","2,245,000","2,493,390","2,482,500","2,875,350","2,656,080","2,776,080","3,098,530","2,852,660","3,340,340","3,139,080","3,606,810","4,397,870"
BLD1NEW,,Energy - End Use Intensities,,,,,,,,,,,,,,,,,
BLD1NEW,,,Electricity (MJ/m2),,,,,,,,,,,,,,,,
BLD1NEW,,,Heating (elec),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1NEW,,,Cooling (elec),587.58,418.92,446.21,221.44,73.79,332.88,19.80,168.03,149.76,27.82,115.02,98.15,102.04,57.52,33.14,12.21
BLD1NEW,,,Interior Lighting (elec),464.11,464.11,464.11,464.11,464.11,464.11,464.11,464.11,464.11,464.11,464.11,464.11,464.11,464.11,464.11,464.11
BLD1NEW,,,Exterior Lighting (elec),130.41,130.18,130.16,130.37,130.35,130.22,130.08,130.22,130.18,130.00,130.02,130.06,130.14,129.98,129.94,129.16
BLD1NEW,,,Interior Equipment (elec),1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97
BLD1NEW,,,Exterior Equipment (elec),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1NEW,,,Fans (elec),212.78,214.14,212.78,213.01,192.45,208.92,190.81,206.96,235.61,192.27,204.75,230.34,204.26,217.06,195.87,185.05
BLD1NEW,,,Refrigeration (elec),132.54,127.67,127.22,122.82,123.11,123.68,118.67,119.50,119.10,116.58,117.36,116.74,116.33,114.55,113.08,110.52
BLD1NEW,,,Generators (elec),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1NEW,,,Total End Uses,2699.40,2526.99,2552.44,2323.72,2155.77,2431.79,2095.43,2260.80,2270.72,2102.73,2203.23,2211.35,2188.85,2155.18,2108.11,2073.01
BLD1NEW,,,Gas (MJ/m2),,,,,,,,,,,,,,,,
BLD1NEW,,,Heating (gas),27.31,396.87,294.83,751.58,243.65,493.63,718.48,1314.39,884.22,1254.29,1768.17,1281.13,2220.70,1854.27,2765.14,4278.12
BLD1NEW,,,Interior Equipment (gas),1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90
BLD1NEW,,,Water Systems (gas),317.73,378.54,343.56,437.11,425.75,385.66,475.89,483.17,474.42,507.13,523.58,521.47,558.51,564.86,616.12,685.85
BLD1NEW,,,Total End Uses,1911.92,2342.29,2205.28,2755.59,2236.29,2446.21,2761.26,3364.45,2925.56,3328.32,3858.65,3369.50,4346.10,3986.03,4948.16,6530.86
BLD1NEW,,,Total Building (MJ/m2),4611.33,4869.29,4757.72,5079.31,4392.06,4878.00,4856.70,5625.26,5196.28,5431.05,6061.88,5580.87,6534.95,6141.21,7056.27,8603.87
BLD1NEW,,Peak Energy Demand,,,,,,,,,,,,,,,,,
BLD1NEW,,,Electricity Peak Demand (kW),,,,,,,,,,,,,,,,
BLD1NEW,,,Jan,62.03,58.09,52.95,47.60,54.05,46.29,45.93,46.29,46.88,45.95,46.13,47.10,46.05,46.34,45.87,47.21
BLD1NEW,,,Feb,63.26,55.26,55.80,48.12,53.78,47.80,47.88,46.19,47.95,45.93,46.10,46.63,46.02,46.42,45.90,45.62
BLD1NEW,,,Mar,63.59,59.32,61.89,50.85,51.82,51.13,45.91,52.65,48.02,45.93,47.09,51.27,46.08,47.04,45.85,45.66
BLD1NEW,,,Apr,65.49,63.65,64.18,56.02,55.94,62.18,47.79,50.84,55.41,45.50,45.59,51.05,49.09,46.03,43.28,45.60
BLD1NEW,,,May,68.53,70.34,75.39,65.41,52.31,68.37,50.01,59.20,60.86,49.15,58.27,57.19,65.43,52.41,49.31,45.22
BLD1NEW,,,Jun,71.02,70.66,80.97,66.63,50.78,78.48,51.14,70.46,66.28,52.82,67.74,64.92,67.82,62.77,56.76,53.68
BLD1NEW,,,Jul,70.43,72.54,78.79,72.01,54.24,76.89,57.78,71.53,69.18,55.33,69.88,64.84,68.38,63.16,62.11,54.70
BLD1NEW,,,Aug,70.52,72.00,79.86,69.36,59.24,75.01,54.04,70.72,63.80,54.12,68.47,65.51,67.81,61.70,59.44,51.69
BLD1NEW,,,Sep,69.62,70.91,74.71,63.90,64.24,71.84,59.43,61.46,59.48,63.54,59.99,60.22,55.16,58.12,50.81,45.77
BLD1NEW,,,Oct,71.33,67.93,65.58,58.84,57.99,63.53,51.85,59.00,56.99,50.16,53.78,54.76,52.28,51.15,50.15,45.73
BLD1NEW,,,Nov,67.92,64.26,60.10,48.79,53.52,49.03,46.36,52.93,48.20,46.33,53.57,47.57,46.46,46.42,45.98,45.66
BLD1NEW,,,Dec,62.86,62.11,51.24,47.56,54.76,47.91,45.95,46.28,46.74,45.94,46.15,46.62,46.05,46.34,45.87,47.26
BLD1NEW,,,Time of Peak Electrical Demand,,,,,,,,,,,,,,,,
BLD1NEW,,,Jan,06-JAN-12:15,03-JAN-12:15,28-JAN-18:15,23-JAN-18:15,26-JAN-12:00,18-JAN-16:00,15-JAN-17:15,09-JAN-07:30,25-JAN-17:30,14-JAN-07:45,18-JAN-07:15,27-JAN-17:15,16-JAN-07:45,10-JAN-07:00,16-JAN-07:45,01-JAN-11:15
BLD1NEW,,,Feb,23-FEB-12:15,22-FEB-18:15,28-FEB-18:30,20-FEB-18:30,12-FEB-12:00,08-FEB-17:15,15-FEB-18:15,15-FEB-17:45,14-FEB-17:45,21-FEB-18:15,27-FEB-18:45,11-FEB-17:30,18-FEB-07:15,02-FEB-17:30,28-FEB-17:00,27-FEB-08:15
BLD1NEW,,,Mar,13-MAR-11:00,25-MAR-17:30,17-MAR-17:15,28-MAR-17:30,04-MAR-11:00,30-MAR-17:00,22-MAR-06:15,09-MAR-18:00,01-MAR-18:15,13-MAR-06:30,14-MAR-17:00,26-MAR-16:30,23-MAR-06:15,30-MAR-17:15,13-MAR-06:30,09-MAR-07:30
BLD1NEW,,,Apr,04-APR-17:15,29-APR-17:15,01-APR-17:15,14-APR-17:15,11-APR-17:15,21-APR-17:15,29-APR-11:00,05-APR-17:15,21-APR-17:15,29-APR-17:15,07-APR-11:00,24-APR-11:00,16-APR-17:15,06-APR-17:15,14-APR-10:15,01-APR-06:15
BLD1NEW,,,May,23-MAY-11:15,26-MAY-17:30,28-MAY-16:00,31-MAY-17:45,29-MAY-11:00,31-MAY-17:15,09-MAY-11:00,15-MAY-17:15,31-MAY-17:15,15-MAY-17:15,30-MAY-17:15,23-MAY-17:15,27-MAY-17:15,16-MAY-17:15,31-MAY-17:15,30-MAY-17:15
BLD1NEW,,,Jun,26-JUN-10:00,13-JUN-17:15,08-JUN-15:00,08-JUN-17:15,28-JUN-11:15,27-JUN-16:15,16-JUN-11:15,30-JUN-16:00,19-JUN-17:15,27-JUN-17:45,08-JUN-11:00,28-JUN-11:00,29-JUN-17:30,30-JUN-16:15,14-JUN-17:15,20-JUN-17:00
BLD1NEW,,,Jul,13-JUL-10:00,30-JUL-10:00,19-JUL-16:00,03-JUL-17:30,29-JUL-10:15,24-JUL-16:15,02-JUL-15:30,25-JUL-10:00,31-JUL-17:30,24-JUL-17:00,14-JUL-11:15,17-JUL-11:00,15-JUL-15:30,21-JUL-16:00,06-JUL-17:30,29-JUL-17:00
BLD1NEW,,,Aug,21-AUG-15:30,31-AUG-10:00,01-AUG-16:00,17-AUG-11:00,08-AUG-11:00,04-AUG-16:30,15-AUG-11:00,17-AUG-15:15,01-AUG-17:15,07-AUG-17:15,04-AUG-16:15,30-AUG-11:00,27-AUG-15:15,09-AUG-17:15,11-AUG-17:30,15-AUG-17:15
BLD1NEW,,,Sep,06-SEP-11:00,16-SEP-10:00,12-SEP-17:30,11-SEP-11:00,24-SEP-10:00,01-SEP-11:00,28-SEP-15:15,05-SEP-11:00,20-SEP-17:15,02-SEP-15:00,06-SEP-11:15,02-SEP-15:15,14-SEP-11:00,01-SEP-17:15,08-SEP-17:00,19-SEP-06:30
BLD1NEW,,,Oct,07-OCT-17:00,29-OCT-17:45,24-OCT-17:45,21-OCT-17:00,19-OCT-10:00,03-OCT-17:30,16-OCT-17:30,20-OCT-17:30,12-OCT-17:45,17-OCT-17:30,31-OCT-17:15,05-OCT-11:00,08-OCT-17:45,05-OCT-17:00,07-OCT-17:45,04-OCT-06:00
BLD1NEW,,,Nov,01-NOV-17:00,27-NOV-18:30,12-NOV-17:30,19-NOV-17:30,20-NOV-12:00,10-NOV-17:15,02-NOV-17:00,04-NOV-17:15,01-NOV-17:30,04-NOV-17:45,02-NOV-17:30,04-NOV-17:15,02-NOV-17:15,21-NOV-07:30,08-NOV-18:45,14-NOV-08:30
BLD1NEW,,,Dec,15-DEC-18:15,02-DEC-18:00,11-DEC-17:30,04-DEC-18:00,19-DEC-12:00,05-DEC-18:15,03-DEC-17:45,23-DEC-07:15,08-DEC-16:00,31-DEC-07:45,12-DEC-18:45,21-DEC-16:45,02-DEC-07:15,29-DEC-07:00,26-DEC-07:30,18-DEC-11:15
BLD1NEW,,Source Energy,,,,,,,,,,,,,,,,,
BLD1NEW,,,Total Source Energy (GJ),"5,644","5,999","5,358","5,534","4,659","5,812","4,856","6,010","5,484","3,730","6,147","5,631","6,271","6,054","6,466","7,430"
BLD1NEW,,,Total Source Energy (MJ/m2),"11,042","11,736","10,481","10,826","9,114","11,370","9,501","11,759","10,729","7,297","12,026","11,017","12,269","11,844","12,649","14,536"
BLD1NEW,,Water Consumption (m3),,,,,,,,,,,,,,,,,
BLD1NEW,,,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1NEW,,,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1NEW,,,Water Systems,"1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36"
BLD1NEW,,,Total Building,"1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36"
BLD1NEW,,Emissions,,,,,,,,,,,,,,,,,
BLD1NEW,,,Carbon Equivalent (kg),"122,736.66","141,271.07","129,729.74","127,031.57","56,384.24","139,002.11","60,221.90","117,635.70","158,670.78","52,423.79","202,351.42","159,319.10","146,439.98","148,567.14","148,064.87","143,020.91"
BLD1NEW,,,CO2 (kg),"294,312.64","362,691.74","316,010.92","304,048.20","155,058.07","340,968.34","166,365.46","283,856.00","384,794.97","140,291.62","487,576.75","388,593.46","360,988.73","366,244.88","367,974.45","381,396.36"
BLD1NEW,,,NOX (kg),475.48,451.37,488.17,512.04,135.80,511.47,146.20,469.74,609.17,163.47,794.00,605.83,552.61,558.06,550.66,417.82
BLD1NEW,,,SO2 (kg),"1,640.84","1,711.79","1,457.62","1,158.45",890.99,"1,899.65",866.13,"1,172.25","1,408.31",231.22,"2,108.75","1,371.56",734.10,817.62,707.12,"1,499.20"
BLD1NEW,,,PM (kg),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1NEW,,,Hg (kg),0.0076,0.0049,0.0041,0.0044,0.0005,0.0037,0.0005,0.0049,0.0056,0.0011,0.0066,0.0055,0.0056,0.0059,0.0054,0.0054
BLD1NEW,,,Water for Electricity (m3),203.04,583.81,"10,765.20","2,059.98","5,374.25","9,472.42","5,223.83",72.88,"1,464.01","3,050.32",485.34,"1,425.73",482.17,"19,383.70",464.38,300.72
